IRI,Speed,Distance,Angle,Brake Intensity
SMOOTH,SLOW,NEAR,DOWN,STRONG
SMOOTH,SLOW,NEAR,STRAIGHT,MEDIUM
SMOOTH,SLOW,NEAR,UP,WEAK
SMOOTH,SLOW,MEDIUM,DOWN,MEDIUM
SMOOTH,SLOW,MEDIUM,STRAIGHT,WEAK
SMOOTH,SLOW,MEDIUM,UP,WEAK
SMOOTH,SLOW,FAR,DOWN,MEDIUM
SMOOTH,SLOW,FAR,STRAIGHT,WEAK
SMOOTH,SLOW,FAR,UP,WEAK
SMOOTH,MEDIUM,NEAR,DOWN,STRONG
SMOOTH,MEDIUM,NEAR,STRAIGHT,STRONG
SMOOTH,MEDIUM,NEAR,UP,MEDIUM
SMOOTH,MEDIUM,MEDIUM,DOWN,STRONG
SMOOTH,MEDIUM,MEDIUM,STRAIGHT,MEDIUM
SMOOTH,MEDIUM,MEDIUM,UP,WEAK
SMOOTH,MEDIUM,FAR,DOWN,MEDIUM
SMOOTH,MEDIUM,FAR,STRAIGHT,WEAK
SMOOTH,MEDIUM,FAR,UP,WEAK
SMOOTH,FAST,NEAR,DOWN,STRONG
SMOOTH,FAST,NEAR,STRAIGHT,STRONG
SMOOTH,FAST,NEAR,UP,MEDIUM
SMOOTH,FAST,MEDIUM,DOWN,STRONG
SMOOTH,FAST,MEDIUM,STRAIGHT,STRONG
SMOOTH,FAST,MEDIUM,UP,MEDIUM
SMOOTH,FAST,FAR,DOWN,STRONG
SMOOTH,FAST,FAR,STRAIGHT,MEDIUM
SMOOTH,FAST,FAR,UP,WEAK
ROUGH,SLOW,NEAR,DOWN,STRONG
ROUGH,SLOW,NEAR,STRAIGHT,MEDIUM
ROUGH,SLOW,NEAR,UP,WEAK
ROUGH,SLOW,MEDIUM,DOWN,MEDIUM
ROUGH,SLOW,MEDIUM,STRAIGHT,WEAK
ROUGH,SLOW,MEDIUM,UP,WEAK
ROUGH,SLOW,FAR,DOWN,WEAK
ROUGH,SLOW,FAR,STRAIGHT,WEAK
ROUGH,SLOW,FAR,UP,WEAK
ROUGH,MEDIUM,NEAR,DOWN,STRONG
ROUGH,MEDIUM,NEAR,STRAIGHT,STRONG
ROUGH,MEDIUM,NEAR,UP,MEDIUM
ROUGH,MEDIUM,MEDIUM,DOWN,MEDIUM
ROUGH,MEDIUM,MEDIUM,STRAIGHT,MEDIUM
ROUGH,MEDIUM,MEDIUM,UP,WEAK
ROUGH,MEDIUM,FAR,DOWN,WEAK
ROUGH,MEDIUM,FAR,STRAIGHT,WEAK
ROUGH,MEDIUM,FAR,UP,WEAK
ROUGH,FAST,NEAR,DOWN,STRONG
ROUGH,FAST,NEAR,STRAIGHT,STRONG
ROUGH,FAST,NEAR,UP,MEDIUM
ROUGH,FAST,MEDIUM,DOWN,STRONG
ROUGH,FAST,MEDIUM,STRAIGHT,STRONG
ROUGH,FAST,MEDIUM,UP,MEDIUM
ROUGH,FAST,FAR,DOWN,MEDIUM
ROUGH,FAST,FAR,STRAIGHT,WEAK
ROUGH,FAST,FAR,UP,WEAK
